STATION_CODE,STATION_NAME,DIVISION,ZONE,DISTRICT,STATE,WORKING HOURS FROM,WORKING HOURS TO,TERMINAL TYPE,AVG. RAKES HANDLING,LINE COUNT,HANDLING TYPE,WAREHOUSE_AVAILABLE (YES/NO),OWNER,ASSOCIATED WEIGHBRIDGE,ALTERNATE WEIGHBRIDGE,TANK HANDLING (YES/NO),LATITUDE,LONGITUDE
GVH,GOVIND GARH,AGRA,NC,ALWAR,RAJASTHAN,,,GOODS-SHED,8.1,1.0,MANUAL,N,IR,,,N,27.49932667,76.98780667
HAB,BAH,AGRA,NC,AGRA,UTTAR PRADESH,06:00,22:00,GOODS-SHED,2.3,,,,,,,,26.86630833,78.617675
HDL,HODAL,AGRA,NC,FARIDABAD,HARYANA,06:00,,CRT,6.7,1.0,MANUAL,N,IR,,,N,27.887096,77.387061
ICDY,INLAND CONTAINER DEPOT AT YAMUNA BRIDGE,AGRA,NC,AGRA,UTTAR PRADESH,,,PRVT-SDNG,1.6,1.0,MECHANICAL,N,CONT,,,N,27.191892,78.038507
IOCG,"INDIAN OIL CORPORATION SIDING, BAD",AGRA,NC,MATHURA,UTTAR PRADESH,00:00,23:59,PRVT-SDNG,5.6,7.0,MECHANICAL,N,IOC,,,Y,27.3958506,77.68956184
JAB,YAMUNA BRIDGE(AGRA) JN.,AGRA,NC,AGRA,UTTAR PRADESH,06:00,22:00,CRT,3.4,5.0,BOTH,Y,IR,,,N,27.19214,78.03901833
JBS,JADOLI KA BAS,AGRA,NC,ALWAR,RAJASTHAN,06:00,18:00,GOODS-SHED,6.2,,,,,,,,27.53925,76.88077778
KBP,KUBERPUR,AGRA,NC,AGRA,UTTAR PRADESH,06:00,18:00,GOODS-SHED,8.4,1.0,MANUAL,N,IR,,,N,27.22306,78.13181
KL,KHERLI,AGRA,NC,ALWAR,RAJASTHAN,06:00,21:00,CRT,6.2,1.0,MANUAL,N,IR,,,N,27.20006833,77.03638167
KSV,KOSIKALAN,AGRA,NC,MATHURA,UTTAR PRADESH,06:00,22:00,CRT,3.5,2.0,BOTH,N,IR,,,N,27.788839,77.445907
MTJ,MATHURA JN.,AGRA,NC,MATHURA,UTTAR PRADESH,06:00,22:00,CRT,4.6,2.0,MANUAL,N,IR,,,N,27.480025,77.672997
MURD,MANDAWAR MAHWA ROAD,AGRA,NC,DAUSA,RAJASTHAN,,,CRT,1.5,1.0,MANUAL,N,IR,,,N,27.156,76.85063167
MUSG,"ORDINANCE DEPOT SDG, MATHURA JN.",AGRA,NC,MATHURA,UTTAR PRADESH,06:00,22:00,RLY-SDNG,2.0,1.0,MANUAL,N,IR,,,N,27.480025,77.672997
NBI,NADBAI,AGRA,NC,BHARATPUR,RAJASTHAN,,,CRT,3.8,1.0,MANUAL,N,IR,,,N,27.21370833,77.20959444
RAH,RAMGARH,AGRA,NC,ALWAR,RAJASTHAN,06:00,22:00,CRT,8.7,1.0,MANUAL,N,IR,,,N,27.57669333,76.811315
SHLK,SHOLAKA,AGRA,NC,FARIDABAD,HARYANA,06:00,22:00,CRT,3.5,1.0,MECHANICAL,N,IR,,,N,27.973634,77.360573
UDMR,UDI MOR,AGRA,NC,ETAWAH,UTTAR PRADESH,06:00,22:00,GOODS-SHED,6.6,1.0,MANUAL,N,IR,,,N,26.728962,78.950819
AIT,AIT JN.,JHS,NC,JALAUN,UTTAR PRADESH,06:00,22:00,CRT,3.1,1.0,BOTH,N,IR,GMC,,N,25.9029733,79.22954833
ARI,ANTRI,JHS,NC,GWALIOR,MADHYA PRADESH,00:00,23:59,CRT,9.1,2.0,BOTH,N,IR,JHS,,N,26.0356,78.227157
BHEG,"BHARAT HEAVY ELECTRICAL LTD. SIDING, KHAJRAHA",JHS,NC,JHANSI,UTTAR PRADESH,06:00,18:00,PRVT-SDNG,3.6,,MECHANICAL,N,BHEL,,,N,25.303838,78.478045
BJI,BIJAULI,JHS,NC,JHANSI,UTTAR PRADESH,,,CRT,8.4,1.0,BOTH,N,IR,JHS,,N,25.376524,78.517483
BNDA,BANDA JN.,JHS,NC,BANDA,UTTAR PRADESH,06:00,22:00,CRT,4.5,2.0,BOTH,N,IR,KID,,N,25.4775567,80.33514833
BPCR,BPCL SDNG KARARI,JHS,NC,JHANSI,UTTAR PRADESH,06:00,18:00,PRVT-SDNG,9.2,2.0,MECHANICAL,N,BPCL,,,Y,25.53036,78.508644
BSZ,BHARWA SUMERPUR,JHS,NC,HAMIRPUR,UTTAR PRADESH,06:00,22:00,CRT,9.2,,,,,,,,25.827102,80.16877
BTKP,BHARATKUP,JHS,NC,CHITRAKOOT,UTTAR PRADESH,,,CRT,3.8,1.0,BOTH,N,IR,KID,,N,25.215862,80.77151
BWR,BARWA SAGAR,JHS,NC,JHANSI,UTTAR PRADESH,06:00,,CRT,7.0,1.0,BOTH,N,IR,KID,,N,25.351865,78.732431
BZM,BHIMSEN JN.,JHS,NC,KANPUR NAGAR,UTTAR PRADESH,06:00,22:00,CRT,1.4,1.0,BOTH,N,IR,GMC,,N,26.420194,80.219055
CGN,CHIRGAON,JHS,NC,JHANSI,UTTAR PRADESH,06:00,,CRT,7.3,1.0,BOTH,N,IR,,,N,25.574361,78.80577
CNH,CHAUNRAH,JHS,NC,KANPUR DEHAT,UTTAR PRADESH,06:00,22:00,CRT,9.3,1.0,BOTH,N,IR,,,N,26.1654207,79.7825177
DAA,DATIA,JHS,NC,DATIA,MADHYA PRADESH,06:00,22:00,CRT,3.2,1.0,MANUAL,N,IR,,,N,25.64047,78.456411
DBA,DABRA,JHS,NC,GWALIOR,MADHYA PRADESH,06:00,20:00,CRT,2.7,1.0,MANUAL,N,IR,,,N,25.881837,78.330564
DCPG,"M/S DIAMOND CEMENT PRIVATE LTD.,",JHS,NC,JHANSI,UTTAR PRADESH,00:00,23:59,PRVT-SDNG,6.8,2.0,BOTH,N,HECL,DCPG,,N,25.518742,78.73807
DSBG,"DEFENCE YARD SDG, BABINA",JHS,NC,JHANSI,UTTAR PRADESH,06:00,18:00,RLY-SDNG,2.1,,BOTH,N,IR,,,N,25.238252,78.452168
DUA,DHAURA,JHS,NC,LALITPUR,UTTAR PRADESH,06:00,22:00,CRT,9.3,,BOTH,N,IR,,,,24.450558,78.321708
GOA,GOHAD ROAD HALT,JHS,NC,BHIND,MADHYA PRADESH,06:00,21:00,GOODS-SHED,4.4,,,,,,,,26.467973,78.408613
GPTH,M/S NUPPL-GHATAMPUR THERMAL POWER PLANT,JHS,NC,HAMIRPUR,UTTAR PRADESH,06:30,18:30,PRVT-SDNG,9.2,,,,,,,,26.016181,80.190556
GRM,GARHMAU,JHS,NC,JHANSI,UTTAR PRADESH,06:00,22:00,CRT,4.3,1.0,BOTH,N,IR,,,N,25.501592,78.661211
GTM,GHATAMPUR,JHS,NC,KANPUR DEHAT,UTTAR PRADESH,06:30,18:30,CRT,8.9,1.0,BOTH,N,IR,,,N,26.151503,80.174801
HPP,HARPALPUR,JHS,NC,CHHATARPUR,MADHYA PRADESH,06:00,18:00,CRT,3.5,1.0,MANUAL,N,IR,KID,,N,25.29047,79.333683
HPTR,M/S HINDUSTAN PETROLEUM CORPORATION LTD (HPTR) SIDING,JHS,NC,KANPUR DEHAT,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,9.7,2.0,MECHANICAL,N,HPC,,,Y,26.376338,80.118484
ICDM,"INLAND CONTAINER DEPOT,MALANPUR",JHS,NC,GWALIOR,MADHYA PRADESH,06:00,22:00,PRVT-SDNG,9.2,1.0,MECHANICAL,N,CONR,,,N,26.413088,78.272781
JHSW,JHANSI WORKSHOP,JHS,NC,JHANSI,UTTAR PRADESH,06:00,21:00,RLY-SDNG,2.7,,BOTH,N,IR,,,N,25.443275,78.552675
KBR,KABRAI,JHS,NC,MAHOBA,UTTAR PRADESH,,,CRT,3.7,1.0,BOTH,N,IR,KID,,N,25.385551,80.038744
KHJ,KHAJRAHA,JHS,NC,JHANSI,UTTAR PRADESH,06:00,18:00,CRT,8.1,1.0,BOTH,N,IR,JHS,,N,25.304091,78.478175
KHU,KHURHAND,JHS,NC,BANDA,UTTAR PRADESH,06:00,22:00,GOODS-SHED,2.2,,,,,,,,25.365621,80.478865
KID,KHAIRAR JN.,JHS,NC,BANDA,UTTAR PRADESH,06:00,,CRT,5.0,1.0,BOTH,N,IR,KID,,N,25.452206,80.236126
KRQ,KARARI,JHS,NC,JHANSI,UTTAR PRADESH,00:00,23:59,CRT,1.4,1.0,MECHANICAL,N,IR,,,N,25.530687,78.508628
KTRA,KOTRA,JHS,NC,DATIA,MADHYA PRADESH,06:00,20:00,GOODS-SHED,3.5,,,,,,,,25.811207,78.38112
KURJ,KHAJURAHO,JHS,NC,CHHATARPUR,MADHYA PRADESH,00:00,23:59,CRT,8.9,,,,,,,,24.796609,79.88942
LAR,LALITPUR,JHS,NC,LALITPUR,UTTAR PRADESH,06:00,22:00,CRT,5.5,1.0,MANUAL,N,IR,JHS,,N,24.688628,78.395561
LPGU,M/S LALITPUR POWER GENERATION COMPANY LTD,JHS,NC,LALITPUR,UTTAR PRADESH,,,PRVT-SDNG,3.3,4.0,MECHANICAL,N,LPGC,,,N,24.776884,78.652911
MBA,MAHOBA,JHS,NC,MAHOBA,UTTAR PRADESH,06:00,18:00,CRT,7.4,2.0,MANUAL,N,IR,,,N,25.306662,79.84871
MCSC,MAHARAJA CHHATRASAL STATION CHHATARPUR,JHS,NC,CHHATARPUR,MADHYA PRADESH,00:00,23:59,CRT,6.9,,,,,,,,24.878032,79.615105
MLAR,MALANPUR,JHS,NC,MORENA,MADHYA PRADESH,06:00,21:00,CRT,7.0,,BOTH,N,IR,,,N,26.391995,78.260906
MTH,MATAUNDH,JHS,NC,BANDA,UTTAR PRADESH,06:00,22:00,CRT,2.5,1.0,BOTH,N,IR,,,N,25.4197533,80.15137167
NEW,NIWARI,JHS,NC,TIKAMGARH,MADHYA PRADESH,06:00,,CRT,9.2,1.0,BOTH,N,IR,KID,,N,25.328202,78.820473
ORAI,ORAI,JHS,NC,JALAUN,UTTAR PRADESH,06:00,22:00,GOODS-SHED,5.3,2.0,MANUAL,N,IR,,,N,25.98259,79.46004207
PIC,PARICHA,JHS,NC,JHANSI,UTTAR PRADESH,,,GOODS-SHED,6.5,,,,,,,,25.518543,78.738109
PLBR,"POL SDG OF M/S BHARAT PETROLEUM CORPORATION LTD, RAYARU",JHS,NC,GWALIOR,MADHYA PRADESH,06:00,18:00,PRVT-SDNG,9.2,1.0,MECHANICAL,N,BPCL,,,Y,26.307034,78.129444
PMN,PAMAN,JHS,NC,KANPUR DEHAT,UTTAR PRADESH,06:00,22:00,CRT,5.1,,,,,,,,26.359743,80.080529
PNBB,NEW BHIMSEN (PNBB),JHS,NC,KANPUR NAGAR,UTTAR PRADESH,00:00,23:59,PRVT-SDNG,5.4,,,,,,,,26.420194,80.219055
PRIL,"RELIANCE INDUSTRIES LIMITED, LALPUR",JHS,NC,KANPUR DEHAT,UTTAR PRADESH,06:00,18:00,PRVT-SDNG,9.5,1.0,MECHANICAL,N,REL,,,Y,26.318498,79.948196
RRU,RAYARU,JHS,NC,GWALIOR,MADHYA PRADESH,,,GOODS-SHED,6.6,2.0,MANUAL,N,IR,,,N,26.306047,78.130209
SAC,SANICHARA,JHS,NC,MORENA,MADHYA PRADESH,06:00,22:00,CRT,5.6,,BOTH,N,IR,,,N,26.363619,78.198633
SANK,SANK,JHS,NC,MORENA,MADHYA PRADESH,07:00,21:00,CRT,4.8,,,,,,,,26.430744,78.059892
SIKD,SIKRODA KWANRI,JHS,NC,MORENA,MADHYA PRADESH,07:00,21:00,GOODS-SHED,4.1,,,,,,,,26.562877,77.966177
SPDM,SINGHPUR DUMRA,JHS,NC,CHHATARPUR,MADHYA PRADESH,00:00,23:59,CRT,8.0,1.0,BOTH,N,IR,,,N,25.066419,79.897071
TKMG,TIKAMGARH,JHS,NC,TIKAMGARH,MADHYA PRADESH,06:00,22:00,GOODS-SHED,8.0,,BOTH,,IR,,,N,24.766983,78.840524
UPSG,"UTTAR  PRADESH STATE ELECTRICITY BOARD SIDING, PARICHA",JHS,NC,JHANSI,UTTAR PRADESH,00:00,23:59,PRVT-SDNG,6.4,6.0,MECHANICAL,N,UPVL,,,N,25.518742,78.73807
VGLJ,VIRANGANA LAKSHMIBAI JHANSI,JHS,NC,JHANSI,UTTAR PRADESH,00:00,22:00,CRT,5.6,,,,,,,,25.444062,78.55301
ALJN,ALIGARH JN.,PRYJ,NC,ALIGARH,UTTAR PRADESH,00:00,22:00,CRT,4.2,2.0,MANUAL,N,IR,,,N,27.889194,78.074169
ARIK,ARSHIYA RAIL INFRASTRUCTURE LTD. (ARIL) ICD SDG,PRYJ,NC,BULANDSHAHR,UTTAR PRADESH,,,PRVT-SDNG,9.0,6.0,BOTH,Y,ARIL,,,Y,28.206247,77.81888
BRG,BARGARH,PRYJ,NC,CHITRAKOOT,UTTAR PRADESH,06:00,22:00,CRT,2.7,1.0,MANUAL,N,IR,,,N,25.16406,81.45022833
